,GSE_X,GSE_Y,GSE_Z,RANGE,HGLAT,HGLONG,CRN(E)
2022-01-01 12:30:00,193.79386169645656,-15.752321613358419,14.93654484007526,145.87112484862763,-3.036676314193363,135.61911010746587,2252.0
2022-01-01 12:40:00,193.79378367983693,-15.723895511132016,14.937188206334273,145.87111512305466,-3.036676314193363,135.5618143279528,2252.0
2022-01-01 12:50:00,193.79370468955787,-15.695467574474756,14.937830258701787,145.8711054294961,-3.036676314193363,135.4472227689266,2252.0
2022-01-01 13:00:00,193.79362472091563,-15.667037806522421,14.938471001881467,145.8710957679459,-3.036676314193363,135.38992698941354,2252.0
2022-01-01 13:10:00,193.79354377234245,-15.638606215114457,14.939110434305425,145.87108613840184,-3.036676314193363,135.27533543038737,2252.0
2022-01-01 13:20:00,193.79346184540609,-15.610172803386643,14.939748554405769,145.8710765408854,-3.036676314193363,135.1607438713612,2252.0
2022-01-01 13:30:00,193.79337893697084,-15.581737577610538,14.940385365318281,145.87106697537868,-3.036676314193363,135.10344809184812,2252.0
2022-01-01 13:40:00,193.7932950454688,-15.553300542489808,14.941020865475071,145.8710574418931,-3.036676314193363,134.98885653282196,2252.0
2022-01-01 13:50:00,193.7932101693321,-15.524861702728128,14.941655054876136,145.8710479404246,-3.036676314193363,134.93156075330887,2252.0
2022-01-01 14:00:00,193.79312431012858,-15.496421064597053,14.94228793508937,145.87103847098658,-3.036676314193363,134.8169691942827,2252.0
2022-01-01 14:10:00,193.7930374615867,-15.467978632800252,14.94291950611477,145.87102903357066,-3.036676314193363,134.70237763525654,2252.0
2022-01-01 14:20:00,193.79294962684227,-15.439534412041391,14.943549766384447,145.87101962818653,-3.036676314193363,134.64508185574346,2252.0
2022-01-01 14:30:00,193.7928608027595,-15.411088408592036,14.944178717466292,145.87101025482195,-3.036676314193363,134.5304902967173,2252.0
2022-01-01 14:40:00,193.79277098777047,-15.38264062715585,14.94480636092819,145.87100091350192,-3.036676314193363,134.4731945172042,2252.0
2022-01-01 14:50:00,193.7926801818752,-15.354191072436501,14.945432693634368,145.8709916042241,-3.036676314193363,134.35860295817807,2252.0
2022-01-01 15:00:00,193.7925883835058,-15.32573974913766,14.946057717152712,145.87098232696835,-3.036676314193363,134.24401139915187,2252.0
2022-01-01 15:10:00,193.79249558952648,-15.297286663530887,14.946681433051113,145.87097308176754,-3.036676314193363,134.18671561963882,2252.0
2022-01-01 15:20:00,193.79240180150518,-15.26883182031985,14.947303841329571,145.8709638686015,-3.036676314193363,134.07212406061262,2252.0
2022-01-01 15:30:00,193.79230701630604,-15.240375224208217,14.947924938852307,145.8709546874776,-3.036676314193363,134.01482828109954,2252.0
2022-01-01 15:40:00,193.79221123236124,-15.211916881467545,14.948544730322984,145.87094553841078,-3.036676314193363,133.9002367220734,2252.0
2022-01-01 15:50:00,193.79211444967075,-15.183456796801506,14.949163214173723,145.87093642138692,-3.036676314193363,133.78564516304723,2252.0
2022-01-01 16:00:00,193.79201666666668,-15.154994974913766,14.949780388836626,145.87092733641896,-3.036676314193363,133.72834938353415,2252.0
2022-01-01 16:10:00,193.79191788334902,-15.126531422075885,14.950396255879586,145.8709182834964,-3.036676314193363,133.61375782450796,2252.0
2022-01-01 16:20:00,193.791818096582,-15.098066142991533,14.951010816870493,145.87090926263824,-3.036676314193363,133.5564620449949,2252.0
2022-01-01 16:30:00,193.79171730479777,-15.069599142364378,14.951624070241456,145.87090027383587,-3.036676314193363,133.44187048596874,2252.0
2022-01-01 16:40:00,193.79161550956414,-15.041130426465976,14.952236015992472,145.87089131709052,-3.036676314193363,133.32727892694257,2252.0
2022-01-01 16:50:00,193.79151270617749,-15.01265999843211,14.95284665569144,145.87088239241115,-3.036676314193363,133.26998314742949,2252.0
2022-01-01 17:00:00,193.7914088962057,-14.984187866102227,14.953455989338352,145.87087349979706,-3.036676314193363,133.15539158840332,2252.0
2022-01-01 17:10:00,193.7913040780809,-14.955714032612104,14.954064015365319,145.87086463924928,-3.036676314193363,133.09809580889024,2252.0
2022-01-01 17:20:00,193.79119825023517,-14.927238504233301,14.954670736908122,145.870855810767,-3.036676314193363,132.98350424986407,2252.0
2022-01-01 17:30:00,193.79109141110064,-14.898761285669488,14.955276150830981,145.87084701436112,-3.036676314193363,132.8689126908379,2252.0
2022-01-01 17:40:00,193.79098356067732,-14.870282383192224,14.955880258701788,145.87083825003072,-3.036676314193363,132.81161691132482,2252.0
2022-01-01 17:50:00,193.79087469582942,-14.841801799937285,14.956483062088429,145.87082951777677,-3.036676314193363,132.69702535229865,2252.0
2022-01-01 18:00:00,193.7907648181248,-14.81331954374412,14.957084559423016,145.8708208176002,-3.036676314193363,132.63972957278557,2252.0
2022-01-01 18:10:00,193.79065392285983,-14.784835617748511,14.95768475227344,145.87081214949626,-3.036676314193363,132.52513801375943,2252.0
2022-01-01 18:20:00,193.79054201317027,-14.756350028222014,14.95828363907181,145.87080351348138,-3.036676314193363,132.46784223424632,2252.0
2022-01-01 18:30:00,193.79042908435244,-14.727862778300407,14.958881221386015,145.87079490955074,-3.036676314193363,132.35325067522018,2252.0
2022-01-01 18:40:00,193.7903151379743,-14.69937387739103,14.959477499216055,145.87078633770324,-3.036676314193363,132.238659116194,2252.0
2022-01-01 18:50:00,193.7902001709,-14.670883327061775,14.960072472561931,145.87077779794353,-3.036676314193363,132.1813633366809,2252.0
2022-01-01 19:00:00,193.7900841831295,-14.642391133584196,14.960666141423644,145.87076929027842,-3.036676314193363,132.06677177765476,2252.0
2022-01-01 19:10:00,193.78996717309502,-14.613897303229853,14.96125850580119,145.87076081470676,-3.036676314193363,132.00947599814165,2252.0
2022-01-01 19:20:00,193.7898491407965,-14.585401839134526,14.961849565694575,145.87075237122926,-3.036676314193363,131.89488443911551,2252.0
2022-01-01 19:30:00,193.78973008309814,-14.55690474756977,14.962439322671683,145.87074395984666,-3.036676314193363,131.78029288008932,2252.0
2022-01-01 19:40:00,193.7896100015679,-14.52840603480715,14.963027776732519,145.8707355805676,-3.036676314193363,131.72299710057626,2252.0
2022-01-01 19:50:00,193.78948889306992,-14.49990570555033,14.963614926309187,145.87072723338088,-3.036676314193363,131.6084055415501,2252.0
2022-01-01 20:00:00,193.78936675760426,-14.471403764502979,14.964200772969582,145.87071891830882,-3.036676314193363,131.55110976203702,2252.0
2022-01-01 20:10:00,193.789243593603,-14.442900216368768,14.964785316713703,145.87071063533827,-3.036676314193363,131.43651820301085,2252.0
2022-01-01 20:20:00,193.78911940106616,-14.414395067419253,14.965368557541549,145.87070238446796,-3.036676314193363,131.32192664398468,2252.0
2022-01-01 20:30:00,193.78899417685793,-14.385888322358106,14.96595049545312,145.87069416572183,-3.093972093706445,131.2646308644716,2252.0
2022-01-01 20:40:00,193.78886792254625,-14.357379987456884,14.966531132016307,145.87068597907515,-3.093972093706445,131.15003930544543,2252.0
2022-01-01 20:50:00,193.78874063499532,-14.328870065851365,14.967110465663216,145.87067782454793,-3.093972093706445,131.09274352593235,2252.0
2022-01-01 21:00:00,193.78861231577295,-14.300358565380996,14.967688496393855,145.87066970213274,-3.093972093706445,130.97815196690618,2252.0
2022-01-01 21:10:00,193.7884829601756,-14.271845489181562,14.968265225776106,145.87066161183608,-3.093972093706445,130.86356040788002,2252.0
2022-01-01 21:20:00,193.78835257133898,-14.243330843524616,14.968840653809972,145.87065355365834,-3.093972093706445,130.80626462836693,2252.0
2022-01-01 21:30:00,193.78822114455943,-14.21481463468172,14.969414780495452,145.8706455275979,-3.093972093706445,130.6916730693408,2252.0
2022-01-01 21:40:00,193.78808868140482,-14.186296865788648,14.96998760583255,145.87063753366508,-3.093972093706445,130.63437728982768,2252.0
2022-01-01 21:50:00,193.78795517873942,-14.157777541549075,14.97055912982126,145.87062957186797,-3.093972093706445,130.51978573080154,2252.0
2022-01-01 22:00:00,193.78782063813108,-14.129256669802446,14.971129352461586,145.87062164218923,-3.093972093706445,130.40519417177535,2252.0
2022-01-01 22:10:00,193.7876850580119,-14.100734255252432,14.971698275321417,145.8706137446332,-3.093972093706445,130.34789839226227,2252.0
2022-01-01 22:20:00,193.78754843524615,-14.072210302602697,14.972265896832862,145.87060587922358,-3.093972093706445,130.23330683323613,2252.0
2022-01-01 22:30:00,193.7874107714017,-14.043684816556913,14.972832216995924,145.87059804593522,-3.093972093706445,130.17601105372302,2252.0
2022-01-01 22:40:00,193.78727206491064,-14.015157803386643,14.973397238946378,145.87059024479174,-3.093972093706445,130.06141949469688,2252.0
2022-01-01 22:50:00,193.787132315773,-13.986629266227657,14.973960959548448,145.87058247577974,-3.093972093706445,129.94682793567068,2252.0
2022-01-01 23:00:00,193.78699152085292,-13.958099212919409,14.974523380370023,145.87057473890712,-3.093972093706445,129.88953215615763,2252.0
2022-01-01 23:10:00,193.7868496801505,-13.92956764816557,14.975084502978989,145.87056703417608,-3.093972093706445,129.77494059713146,2252.0
2022-01-01 23:20:00,193.78670679366573,-13.901034576669803,14.975644324239573,145.87055936158464,-3.093972093706445,129.71764481761838,2252.0
2022-01-01 23:30:00,193.78656285826278,-13.872500004703669,14.976202847287551,145.8705517211408,-3.093972093706445,129.6030532585922,2252.0
2022-01-01 23:40:00,193.78641787707747,-13.843963935402948,14.976760070555033,145.8705441128446,-3.093972093706445,129.48846169956605,2252.0
2022-01-01 23:50:00,193.78627184540608,-13.815426376607087,14.977315995609908,145.87053653670395,-3.093972093706445,129.43116592005296,2252.0
